Flight No.,Date andtime (UTC),"Version,Booster [b]",Launch site,Payload[c],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,1,2,3,4,5,6,7,Payload,Launch outcome,Version Booster,Booster landing,Date,Time
1,,,CCAFS,,0,LEO,SpaceX,,,,,,,,,,Dragon Spacecraft Qualification Unit,"Success
",F9 v1.1,Failure,4 June 2010,18:45
2,,,CCAFS,,0,LEO,NASA,,,,,,,,,,Dragon,Success,F9 v1.1,Failure,8 December 2010,15:43
3,,,CCAFS,,525 kg,LEO,NASA,,,,,,,,,,Dragon,Success,F9 v1.1,"No attempt
",22 May 2012,07:44
4,,,CCAFS,,"4,700 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-1,"Success
",F9 v1.1,No attempt,8 October 2012,00:35
5,,,CCAFS,,"4,877 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-2,"Success
",F9 v1.1,"No attempt
",1 March 2013,15:10
6,,,VAFB,,500 kg,Polar orbit,MDA,,,,,,,,,,CASSIOPE,Success,F9 v1.1,Uncontrolled,29 September 2013,16:00
7,,,CCAFS,,"3,170 kg",GTO,SES,,,,,,,,,,SES-8,Success,F9 v1.1,No attempt,3 December 2013,22:41
8,,,CCAFS,,"3,325 kg",GTO,Thaicom,,,,,,,,,,Thaicom 6,Success,F9 v1.1,No attempt,6 January 2014,22:06
9,,,Cape Canaveral,,"2,296 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-3,"Success
",F9 v1.1,Controlled,18 April 2014,19:25
10,,,Cape Canaveral,,"1,316 kg",LEO,Orbcomm,,,,,,,,,,Orbcomm-OG2,Success,F9 v1.1,Controlled,14 July 2014,15:15
11,,,Cape Canaveral,,"4,535 kg",GTO,AsiaSat,,,,,,,,,,AsiaSat 8,Success,F9 v1.1,No attempt,5 August 2014,08:00
12,,,Cape Canaveral,,"4,428 kg",GTO,AsiaSat,,,,,,,,,,AsiaSat 6,Success,F9 v1.1,"No attempt
",7 September 2014,05:00
13,,,Cape Canaveral,,"2,216 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-4,Success,F9 v1.1,Uncontrolled,21 September 2014,05:52
14,,,Cape Canaveral,,"2,395 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-5,Success,F9 v1.1,Failure ,10 January 2015,09:47
15,,,Cape Canaveral,,570 kg,HEO,USAF,,,,,,,,,,DSCOVR,"Success
",F9 v1.1,Controlled,11 February 2015,23:03
16,,,Cape Canaveral,,"4,159 kg",GTO,ABS,,,,,,,,,,ABS-3A,"Success
",,No attempt,2 March 2015,03:50
17,,,Cape Canaveral,,"1,898 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-6,"Success
",,Failure,14 April 2015,20:10
18,,,Cape Canaveral,,"4,707 kg",GTO,,,,,,,,,,,TürkmenÄlem 52°E / MonacoSAT,"Success
",,No attempt,27 April 2015,23:03
19,,,Cape Canaveral,,"1,952 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-7,Failure,,Precluded,28 June 2015,14:21
20,,,Cape Canaveral,,"2,034 kg",LEO,Orbcomm,,,,,,,,,,Orbcomm-OG2,"Success
",,Success,22 December 2015,01:29
21,,,VAFB,,553 kg,LEO,NASA,,,,,,,,,,Jason-3,"Success
",,Failure,17 January 2016,18:42
22,,,Cape Canaveral,,"5,271 kg",GTO,SES,,,,,,,,,,SES-9,"Success
",,Failure,4 March 2016,23:35
23,,,Cape Canaveral,,"3,136 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-8,Success,,Success,8 April 2016,20:43
24,,,Cape Canaveral,,"4,696 kg",GTO,SKY Perfect JSAT Group,,,,,,,,,,JCSAT-14,"Success
",,Success,6 May 2016,05:21
25,,,Cape Canaveral,,"3,100 kg",GTO,Thaicom,,,,,,,,,,Thaicom 8,"Success
",,Success,27 May 2016,21:39
26,,,Cape Canaveral,,"3,600 kg",GTO,ABS,,,,,,,,,,ABS-2A,"Success
",,Failure,15 June 2016,14:29
27,,,Cape Canaveral,,"2,257 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-9,"Success
",,Success,18 July 2016,04:45
28,,,Cape Canaveral,,"4,600 kg",GTO,SKY Perfect JSAT Group,,,,,,,,,,JCSAT-16,"Success
",,Success,14 August 2016,05:26
29,,,VAFB,,"9,600 kg",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,"Success
",,Success,14 January 2017,17:54
30,,,KSC,,"2,490 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-10,"Success
",,Success,19 February 2017,14:39
31,,,KSC,,"5,600 kg",GTO,EchoStar,,,,,,,,,,EchoStar 23,"Success
",,No attempt,16 March 2017,06:00
32,,,KSC,,"5,300 kg",GTO,SES,,,,,,,,,,SES-10,Success,,Success,30 March 2017,22:27
33,,,KSC,,C,LEO,NRO,,,,,,,,,,NROL-76,"Success
",,Success,1 May 2017,11:15
34,,,KSC,,"6,070 kg",GTO,Inmarsat,,,,,,,,,,Inmarsat-5 F4,"Success
",,No attempt,15 May 2017,23:21
35,,,KSC,,"2,708 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-11,"Success
",,Success,3 June 2017,21:07
36,,,KSC,,"3,669 kg",GTO,Bulsatcom,,,,,,,,,,BulgariaSat-1,"Success
",,Success,23 June 2017,19:10
37,,,VAFB,,"9,600 kg",LEO,Iridium Communications,,,,,,,,,,Iridium NEXT,"Success
",,Success,25 June 2017,20:25
38,,,KSC,,"6,761 kg",GTO,Intelsat,,,,,,,,,,Intelsat 35e,"Success
",,No attempt,5 July 2017,23:38
39,,,KSC,,"3,310 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-12,"Success
",,Success,14 August 2017,16:31
40,,,VAFB,,475 kg,SSO,NSPO,,,,,,,,,,Formosat-5,"Success
",,Success,24 August 2017,18:51
41,,,KSC,,"4,990 kg",LEO,USAF,,,,,,,,,,Boeing X-37B,"Success
",,Success,7 September 2017,14:00
42,,,VAFB,,"9,600 kg",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,"Success
",,Success,9 October 2017,12:37
43,,,KSC,,"5,200 kg",GTO,SES S.A.,,,,,,,,,,SES-11,"Success
",,Success,11 October 2017,22:53:00
44,,,KSC,,"3,500 kg",GTO,KT Corporation,,,,,,,,,,Koreasat 5A,"Success
",,Success,30 October 2017,19:34
45,,,Cape Canaveral,,"2,205 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-13,"Success
",,Success,15 December 2017,15:36
46,,,VAFB,,"9,600 kg",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,Success,,Controlled,23 December 2017,01:27
47,,,CCAFS,,C,LEO,Northrop Grumman,,,,,,,,,,Zuma,Success,,Success,8 January 2018,01:00
48,,,CCAFS,,"4,230 kg",GTO,SES,,,,,,,,,,GovSat-1,Success,,Controlled,31 January 2018,21:25
